"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"btn1,btn2";"SW_PUSH-12mm";2;"SW_PUSH";;;
2;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"12K";;;
3;"U1";"DIP-8_W7.62mm";1;"ATTINY85-20PU";;;
4;"J1";"Tayda_3.5mm_stereo_TRS_jack_A-853";1;"audio out";;;
5;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"12k";;;
6;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"R";;;
7;"D1";"LED_D3.0mm_FlatTop";1;"LED";;;
8;"Pot1";"Potentiometer_Alpha-RV09";1;"10K lin";;;
9;"Pot2";"Potentiometer_Alpha-RV09";1;"10k lin";;;
10;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3k3";;;
11;"SW";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"On-Off";;;
12;"BT1,BT2";"Keystone_103_1x20mm-CoinCell";2;"Battery_Cell";;;
13;"C1";"CP_Radial_D4.0mm_P2.00mm";1;"CP1";;;
14;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
